Verificacion|VERIFICACION
Estado|ESTADO
ApellidosNombres|1.- Nombres y Apellidos del encuestado (Adulto mayor)
CodSuj|3.- Código del sujeto (ECU-IUTA-R-XXX)
Edad|EDAD
Profesion|2.- profesion
Sexo|6.- Sexo
ECivil|7.- Estado civil
Lateralidad|9.- Lateralidad
DSF|10.- Déficit sensorial Física
EnfermedadPA|11.- Enfermedad psiquiátrica activa. Si presenta alguno de estos Ejemplos entonces escribirlo caso contrario colocar N/A (Ansiedad, Depresión,Trastorno de oposición desafiante, Trastorno de la conducta, Trastorno por estrés postraumático.  .  ) 
HistoriaAD|12.- Escribir si presenta una Historia de Alcohol/Drogas caso contrario colocar N/A
CondicionesMNS|13.- Escribir sí presenta  Condiciones medicas y/o neurológicas subyacentes (Toma medicina para dormir, toma medicina neurológico) caso contrario colocar N/A.
Medicacion|14.- Medicación (especificar) en caso de haberlo caso contrario colocar N/A.
ObservacionMed|OBSERVACIÓN: Comenta si observas alguna novedad aparte de las anteriores (es parálitico, es activo, no habla bien, es sociable, no ve etc) caso contrario colocar la palabra NINGUNA
AniosEstudio|8.- Años de estudio
CT1|
CT2|
CT3|
CT4|
CT5|
CT6|
CT7|
CT8|
TotalPBT1|TOTAL PREGUNTAS BASICAS TAREA 1
CT9|
CT10|
CT11|
CT12|
TotalPMT2|TOTAL PREGUNTAS MUSICA  TAREA 2
CT13|
CT14|
CT15|
CT16|
CT17|
CT18|
CT19|
CT20|
TotalPMT3|TOTAL PREGUNTAS MEMORIA  TAREA 3
CT21|
CT22|
TotalPPT4|TOTAL PREGUNTAS PHONE TAREA 4
CT23|
CT24|
CT25|
CT26|
CT27|
CT28|
CT29|
CT30|
TotalCIT5|TOTAL CASA INTELIGENTE TAREA 5
TotalTareas|TOTAL TAREAS
DispDSFE|dispositivo con un diseño simple y fácil de entender.  3MUCHO, 2 BASTANTE,1 ALGO, 0 NADA
IdiomaDisp|Idioma del dispositivo- 3MUCHO, 2 BASTANTE,1 ALGO, 0 NADA
PrefContenido|Preferencia de contenido- 3MUCHO, 2 BASTANTE,1 ALGO, 0 NADA
VolumenAC|volumen alto y claro.  3MUCHO, 2 BASTANTE,1 ALGO, 0 NADA
RespComBas|Respuesta de comando basicos. 3MUCHO, 2 BASTANTE,1 ALGO, 0 NADA
VisivilidadC|visibilidad con claridad,  3MUCHO, 2 BASTANTE,1 ALGO, 0 NADA
DiscapacidadC|Discapacidad (cualquiera)-0 NADA, 1 BASTANTE, 2 ALGO, 3 MUCHO
TotalCaractPerf|TOTAL CARACT PERFIL
Item1PreSg|ITEM1-PRE-SG ¿Con qué frecuencia realizas ejercicio físico?(1-2-3-4-5(1nada-5mucho)
Item2PreSg|ITEM2-PRE-SG ¿Con qué frecuencia realizas alguna actividad para ejercitar tu cerebro?(1-2-3-4-5(1nada-5mucho)
Item3PreSg|ITEM3-PRE-SG ¿Estás interesado/a en las nuevas tecnologías? (1-2-3-4-5(1nada-5mucho)
Item4PreSg|ITEM4-PRE-SG ¿Con qué frecuencia juegas con videojuegos? (1-2-3-4-5(1nada-5mucho)
Item5PreSg|ITEM5-PRE-SG ¿Cuál es tu motivación para jugar a videojuegos? (1-2-3-4-5(1nada-5mucho) 
Item6PreSg|ITEM6-PRE-SG ¿Sueles pasar mucho tiempo solo/a? (1-2-3-4-5(1nada-5mucho tiempo en soledad) 
